Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Gini index,SI.POV.GINI,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.8,40.2,39.4,38.1,36.2,35.2,35.6,34.5,34.2
Gini index,SI.POV.GINI,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Norway,NOR,25.2,..,..,..,26,..,..,..,..,27.4,..,..,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27
Gini index,SI.POV.GINI,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Pakistan,PAK,..,..,..,..,..,28.7,..,33.1,..,..,28.7,..,..,30.9,31.3,..,29.7,..,..,28.8,29.7,..,29.5,..,31.3,..,..
Gini index,SI.POV.GINI,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Panama,PAN,58.2,..,..,..,57.8,..,58.2,57.5,56.5,56.6,56.7,56.1,55.7,54.8,53.8,54.6,52.7,52.7,51.8,51.6,51.3,51.7,51.5,50.5,50.8,50.4,49.9
Gini index,SI.POV.GINI,Papua New Guinea,PNG,..,..,..,..,..,45.8,..,..,..,..,..,..,..,..,..,..,..,..,41.9,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Paraguay,PRY,..,..,..,..,58.2,..,54.9,..,54.6,..,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.5
Gini index,SI.POV.GINI,Peru,PER,..,..,..,..,..,..,53.3,55.1,54.8,49.1,51.3,53.6,53.1,49.9,50.5,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3
Gini index,SI.POV.GINI,Philippines,PHL,..,..,..,..,..,..,..,..,..,47.7,..,..,46.6,..,..,47.2,..,..,46.3,..,..,46.5,..,..,44.6,..,..
Gini index,SI.POV.GINI,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,38,35.8,34.7,34,33.5,33.4,33.2,33.2,33,33.1,32.8,31.8,31.2,29.7
Gini index,SI.POV.GINI,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..,38.8,38.9,38.5,38.1,36.8,36.6,34.9,35.8,36.3,36,36.2,35.6,35.5,35.2,33.8
Gini index,SI.POV.GINI,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.6,37.5,36.4,35.6,35.5,35.9,36.5,36.9,36,35.9,34.4,36
Gini index,SI.POV.GINI,Russian Federation,RUS,..,..,..,..,..,..,38.4,38.1,37.4,37.1,36.9,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,36.8,37.2
Gini index,SI.POV.GINI,Rwanda,RWA,..,..,..,..,..,..,..,..,..,48.5,..,..,..,..,52,..,..,..,..,47.2,..,..,45.1,..,..,43.7,..
Gini index,SI.POV.GINI,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,40.7,..,..,..,..,..,42,..,..,..,..,38.7,..,..,..,..
Gini index,SI.POV.GINI,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,32.1,..,..,..,..,..,..,..,..,..,30.8,..,..,..,..,..,..,40.7
Gini index,SI.POV.GINI,Saudi Arabia,SAU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Senegal,SEN,54.1,..,..,41.4,..,..,..,..,..,..,41.2,..,..,..,39.2,..,..,..,..,..,40.3,..,..,..,..,..,..
Gini index,SI.POV.GINI,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.9,39.5,40.5,40.5,38.8,36.2
Gini index,SI.POV.GINI,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.8,..,..,..,..
Gini index,SI.POV.GINI,Sierra Leone,SLE,..,..,..,..,..,..,..,..,..,..,..,..,40.2,..,..,..,..,..,..,..,34,..,..,..,..,..,..
Gini index,SI.POV.GINI,Singapore,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,27.1,29.3,25.8,24.7,26,27.2,27.3,26.5,26.1,28.1,26.1,26.5,25.2,23.2
Gini index,SI.POV.GINI,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,24.8,24.6,24.4,24.4,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,24.8,24.2
Gini index,SI.POV.GINI,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.1,..,..,..,..,..,..,37.1,..,..,..,..,..
Gini index,SI.POV.GINI,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Africa,ZAF,..,..,59.3,..,..,..,..,..,..,57.8,..,..,..,..,64.8,..,..,63,..,63.4,..,..,..,63,..,..,..
Gini index,SI.POV.GINI,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.3,..,..,..,..,..,..,44.1,..
Gini index,SI.POV.GINI,Spain,ESP,..,..,35.7,35.1,35.7,36.5,35.3,34.6,33.8,34.1,..,..,31.8,33.3,32.4,33.5,34.1,34.2,34.9,35.2,35.7,35.4,36.2,36.1,36.2,35.8,34.7
Gini index,SI.POV.GINI,Sri Lanka,LKA,..,..,..,..,35.4,..,..,..,..,..,..,40.2,..,..,..,39.7,..,..,36.1,..,..,38.7,..,..,..,39.3,..
Gini index,SI.POV.GINI,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,St. Lucia,LCA,..,..,..,..,42.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.2,..
Gini index,SI.POV.GINI,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.4,..,..,..,..,34.2,..,..,..
Gini index,SI.POV.GINI,Suriname,SUR,..,..,..,..,..,..,..,..,57.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sweden,SWE,..,24.9,..,..,25.2,..,..,..,..,27.2,..,25.8,25.3,26.1,26.8,26.4,27.1,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,29.6,28.8
Gini index,SI.POV.GINI,Switzerland,CHE,..,33.9,..,..,..,..,..,..,..,33.4,..,31.7,..,..,..,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,33,32.7
Gini index,SI.POV.GINI,Syrian Arab Republic,SYR,..,..,..,..,..,35.2,..,..,..,..,..,..,37.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Tajikistan,TJK,..,..,..,..,..,..,..,..,29.5,..,..,..,32.7,33.6,..,..,32.2,..,30.8,..,..,..,..,..,34,..,..
Gini index,SI.POV.GINI,Tanzania,TZA,35.3,..,..,..,..,..,..,..,..,37.3,..,..,..,..,..,..,40.3,..,..,..,37.8,..,..,..,..,..,..
Gini index,SI.POV.GINI,Thailand,THA,..,47.9,..,43.5,..,42.9,..,41.5,43.1,42.8,..,41.9,..,42.5,..,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.9,36.5
Gini index,SI.POV.GINI,Timor-Leste,TLS,..,..,..,..,..,..,..,..,..,..,35.9,..,..,..,..,..,27.8,..,..,..,..,..,..,28.7,..,..,..
Gini index,SI.POV.GINI,Togo,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.2,..,..,..,..,46,..,..,..,43.1,..,..
Gini index,SI.POV.GINI,Tonga,TON,..,..,..,..,..,..,..,..,..,37.7,..,..,..,..,..,..,..,..,37.5,..,..,..,..,..,33.5,..,..
Gini index,SI.POV.GINI,Trinidad and Tobago,TTO,..,40.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Tunisia,TUN,..,..,..,..,41.7,..,..,..,..,40.8,..,..,..,..,37.7,..,..,..,..,35.8,..,..,..,..,32.8,..,..
Gini index,SI.POV.GINI,Turkiye,TUR,..,..,..,41.3,..,..,..,..,..,..,..,41.4,42.2,41.3,42.6,39.6,38.4,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9,41.4
Gini index,SI.POV.GINI,Turkmenistan,TKM,..,..,..,..,..,..,..,40.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.1,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Uganda,UGA,..,41.4,..,..,..,39,..,..,43,..,..,45.2,..,..,42.9,..,..,..,44.2,..,..,41,..,..,..,42.8,..
Gini index,SI.POV.GINI,Ukraine,UKR,..,29.7,28.9,..,39.3,35.2,..,..,..,..,..,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,26
Gini index,SI.POV.GINI,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.5,..,..,..,..
Gini index,SI.POV.GINI,United Kingdom,GBR,35,35,35.1,36,35.5,35.3,35.7,36.6,36.8,38.8,37.1,35.1,34.9,34.8,35.5,35.9,34.4,35.4,35.1,33.7,33.2,33.1,32.7,33.1,33.3,33.1,32.6
Gini index,SI.POV.GINI,United States,USA,38,38.4,40.4,40,39.9,40.3,40.5,40,40,40.1,40.6,40.4,40.8,40.3,41,41.4,40.8,40.8,40.6,40,40.9,40.9,40.7,41.5,41.2,41.1,41.2
Gini index,SI.POV.GINI,Uruguay,URY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.9,46.4,45.1,45.5,44.5,42.2,39.9,40.5,40.1,40.1,39.7,39.5
Gini index,SI.POV.GINI,Uzbekistan,UZB,..,..,..,..,..,..,..,44.7,..,36.1,..,33,35.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.4,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,"Venezuela, RB",VEN,..,42.1,..,..,47.2,..,..,48.1,47.8,..,47.2,49,48.1,47.5,49.5,44.8,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Viet Nam,VNM,..,35.7,..,..,..,..,35.4,..,..,..,..,37,..,36.8,..,35.8,..,35.6,..,39.3,..,35.6,..,34.8,..,35.3,..
Gini index,SI.POV.GINI,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,34,34.7,34,35.6,..,34.5,35.3,34.4,..,..,..,..,33.7,..
Gini index,SI.POV.GINI,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,35,..,..,..,..,..,..,34.7,..,..,..,..,..,..,..,..,36.7,..,..,..
Gini index,SI.POV.GINI,Zambia,ZMB,60.5,..,52.6,..,..,48.3,..,49.1,..,..,..,42.1,..,54.3,..,54.6,..,..,..,52,..,..,..,..,55.9,..,..
Gini index,SI.POV.GINI,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.2,..,..,..,..,..,44.3
Gini index,SI.POV.GINI,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,East Asia & Pacific (IDA & IBRD),TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Europe & Central Asia (IDA & IBRD),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Latin America & Caribbean (IDA & IBRD),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle East & North Africa (IDA & IBRD),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Sub-Saharan Africa (IDA & IBRD),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gini index,SI.POV.GINI,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Gender Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
